"h_code","thunhap","thubq","year"
"4043017938011014",15275,NA,2018
"4043017938011015",119755,3326,2018
"4043017938011015",37000,NA,2018
"4043017938011015",0,NA,2018
"4043017938011015",582450,NA,2018
"4043017938011015",8185,NA,2018
"4043017938011015",0,NA,2018
"4043017938011015",17220,NA,2018
"4043017938011015",6740,NA,2018
"4043118022001013",154010,4278,2018
"4043118022001013",0,NA,2018
"4043118022001013",0,NA,2018
"4043118022001013",156000,NA,2018
"4043118022001013",0,NA,2018
"4043118022001013",0,NA,2018
"4043118022001013",1000,NA,2018
"4043118022001013",12405,NA,2018
"4043118022001014",185630,5156,2018
"4043118022001014",48000,NA,2018
"4043118022001014",0,NA,2018
"4043118022001014",138000,NA,2018
"4043118022001014",2000,NA,2018
"4043118022001014",0,NA,2018
"4043118022001014",1600,NA,2018
"4043118022001014",8095,NA,2018
"4043118022001015",165240,2754,2018
"4043118022001015",0,NA,2018
"4043118022001015",0,NA,2018
"4043118022001015",181500,NA,2018
"4043118022001015",5680,NA,2018
"4043118022001015",0,NA,2018
"4043118022001015",1776,NA,2018
"4043118022001015",16510,NA,2018
"4547019684007013",91736,1528,2018
"4547019684007013",10200,NA,2018
"4547019684007013",0,NA,2018
"4547019684007013",0,NA,2018
"4547019684007013",0,NA,2018
"4547019684007013",0,NA,2018
"4547019684007013",1000,NA,2018
"4547019684007013",3970,NA,2018
"4547019684007014",220260,3059,2018
"4547019684007014",32400,NA,2018
"4547019684007014",0,NA,2018
"4547019684007014",307000,NA,2018
"4547019684007014",0,NA,2018
"4547019684007014",0,NA,2018
"4547019684007014",61000,NA,2018
"4547019684007014",19120,NA,2018
"4547019684007015",70503,1468,2018
"4547019684007015",0,NA,2018
"4547019684007015",0,NA,2018
"4547019684007015",81000,NA,2018
"4547019684007015",5988,NA,2018
"4547019684007015",150,NA,2018
"4547019684007015",1901,NA,2018
"4547019684007015",19517,NA,2018
"9697332242018011",136830,3800,2018
"9697332242018011",0,NA,2018
"9697332242018011",0,NA,2018
"9697332242018011",96000,NA,2018
"9697332242018011",0,NA,2018
"9697332242018011",0,NA,2018
"9697332242018011",2030,NA,2018
"9697332242018011",6811,NA,2018
"9697332242018012",77700,2158,2018
"9697332242018012",45000,NA,2018
"9697332242018012",0,NA,2018
"9697332242018012",0,NA,2018
"9697332242018012",0,NA,2018
"9697332242018012",0,NA,2018
"9697332242018012",220,NA,2018
"9697332242018012",6642,NA,2018
"9697332242018013",164600,4572,2018
"9697332242018013",0,NA,2018
"9697332242018013",0,NA,2018
"9697332242018013",0,NA,2018
"9697332242018013",800,NA,2018
"9697332242018013",0,NA,2018
"9697332242018013",190,NA,2018
"9697332242018013",7970,NA,2018
"0100100007006013",199400,5538,2018
"0100100007006013",170400,NA,2018
"0100100007006013",0,NA,2018
"0100100007006013",0,NA,2018
"0100100007006013",0,NA,2018
"0100100007006013",0,NA,2018
"0100100007006013",3464,NA,2018
"0100100007006013",13955,NA,2018
"0100100007006014",189200,7883,2018
"0100100007006014",24000,NA,2018
"0100100007006014",0,NA,2018
"0100100007006014",0,NA,2018
"0100100007006014",0,NA,2018
"0100100007006014",0,NA,2018
"0100100007006014",1902,NA,2018
"0100100007006014",22900,NA,2018
"0100100034010013",551700,7662,2018
"0100100034010013",454400,NA,2018
"0100100034010013",0,NA,2018
"0100100034010013",180000,NA,2018
"0100100034010013",0,NA,2018
"0100100034010013",0,NA,2018
"0100100034010013",6984,NA,2018
